x=-0.00820015   y=0.00335169   z=-4.89466e-05
x=-0.00789374   y=-0.00109215   z=-6.28642e-05
x=-0.00653855   y=0.0020269   z=-7.45129e-05
x=-0.0132917   y=-0.00357051   z=-0.000188768
x=-0.00258389   y=-0.00149773   z=-7.57425e-07
x=-0.00630549   y=-0.00179731   z=-4.80219e-05
x=-0.00143648   y=0.00343402   z=1.14328e-05
x=-0.00940086   y=0.00427267   z=-9.26219e-08
x=-0.00672256   y=0.000422235   z=3.51951e-06
x=-0.00370363   y=-0.00653393   z=-4.57751e-05
x=-0.00563527   y=0.00153922   z=-3.71869e-05
x=0.00320797   y=-0.00379119   z=4.32434e-05
x=-0.00308721   y=0.00278595   z=5.44761e-05
x=-0.00190627   y=-0.00375951   z=-2.31118e-05
x=-0.00207824   y=-0.00650504   z=-3.51929e-05
x=-0.00996551   y=0.000215772   z=-2.12459e-05
x=-0.00114388   y=-0.00299408   z=2.35323e-06
x=-0.00201087   y=0.00186395   z=-5.27622e-05
x=-0.0053909   y=-0.00171235   z=-1.48294e-05
x=-0.011377   y=0.0129307   z=0.000123146
x=-0.00859609   y=0.00409151   z=0.000107535
x=-0.0069046   y=0.00376106   z=2.84808e-06
x=-0.00750597   y=0.00633086   z=-2.48518e-06
x=-0.00606265   y=-0.00226905   z=-6.56165e-05
x=-0.00229056   y=-0.00378178   z=-1.33822e-05
x=-0.00154594   y=-0.00196284   z=9.89257e-06
x=-0.00484034   y=-0.00208721   z=-6.60244e-05
x=-0.00345468   y=-0.00129909   z=-2.3605e-05
x=-0.00633764   y=-0.00465298   z=-8.7906e-05
x=-0.0166972   y=0.00407887   z=-0.000101813
x=-0.0102849   y=-0.00342734   z=-0.00016726
x=-0.00177928   y=-0.00452736   z=-4.28934e-05
x=-0.00852791   y=-0.00053285   z=-8.22126e-05
x=-0.0027367   y=0.00292885   z=4.61498e-05
x=-0.000404576   y=0.00322745   z=3.88348e-05
x=0.000902535   y=0.00116917   z=2.04011e-05
x=-0.00769385   y=-0.00208285   z=-6.58491e-05
x=-0.00524575   y=-0.00548359   z=-8.91714e-05
x=-0.00877354   y=0.00139775   z=-5.81493e-05
x=-0.00375835   y=0.00751133   z=2.14187e-05
x=-0.00672872   y=-0.00329647   z=-9.6041e-05
x=-0.00680333   y=-0.00468136   z=-9.56756e-05
x=-0.00698167   y=0.00295013   z=1.60411e-05
x=-0.00624456   y=0.0043305   z=-5.94408e-05
x=-0.00369846   y=-0.00327147   z=1.51713e-05
x=-0.00705555   y=0.00218575   z=5.66062e-06
x=-0.00150887   y=-0.00101821   z=9.42766e-06
x=-0.00859024   y=-0.000321811   z=-6.51074e-05
x=-0.00980173   y=0.00418696   z=-1.54876e-05
x=-0.00283669   y=-0.00525725   z=-1.81236e-05
x=-0.00737711   y=0.0027512   z=-6.40867e-05
x=-0.000710461   y=-0.0037492   z=-7.22117e-06
x=-0.0128441   y=0.00546839   z=-6.42052e-05
x=0.00308746   y=-0.00161736   z=6.3642e-05
x=-0.0138423   y=-0.000126257   z=-0.000109341
x=-0.00645431   y=0.00522234   z=2.44204e-05
x=-0.00598524   y=0.00227391   z=-5.08199e-05
x=-0.00758984   y=0.00404869   z=1.73447e-05
x=-0.00758808   y=0.00571011   z=-2.71295e-05
x=-0.00618744   y=-0.000492007   z=-2.04235e-05
x=-0.0123048   y=0.00843646   z=-6.77069e-05
x=-0.00940365   y=0.00245074   z=-6.61699e-05
x=-0.00444111   y=0.00346478   z=-1.0915e-05
x=-0.00599212   y=0.00418967   z=-1.97215e-06
x=-0.0050836   y=-0.00657605   z=-0.0001004
x=-0.00397717   y=0.00520354   z=1.52877e-05
x=-0.000353202   y=0.000916652   z=2.30061e-05
x=-0.00147726   y=0.00283348   z=1.10927e-05
x=-0.00292774   y=0.00890787   z=4.90701e-05
x=0.000757596   y=-0.00272977   z=7.52318e-06
x=-0.00819283   y=0.00120278   z=-2.6156e-05
x=-0.00620113   y=0.00393062   z=-4.39127e-05
x=-0.00473069   y=0.00404851   z=-6.87794e-05
x=-0.0125524   y=-0.0012279   z=-0.000138228
x=-0.00864582   y=0.00850856   z=1.58856e-05
x=-0.00939338   y=0.00313453   z=-8.63203e-05
x=-0.00269052   y=0.00261167   z=2.65538e-06
x=-0.00885232   y=0.00255073   z=-5.10497e-05
x=-0.00474185   y=-0.00211429   z=1.66678e-05
x=-0.00451117   y=0.00237158   z=-5.37488e-05
x=-0.00149232   y=0.0072392   z=-1.07181e-05
x=-0.0043743   y=-0.00107177   z=-3.7618e-05
x=-0.00587331   y=0.00152504   z=-6.50548e-05
x=-0.000986443   y=-0.00372043   z=1.03957e-05
x=-0.0101038   y=-0.0019346   z=-5.45006e-05
x=-0.00519003   y=-0.00423941   z=-8.88827e-05
x=-0.00621879   y=0.00717719   z=3.55028e-05
x=-0.00741558   y=0.00637188   z=-8.0036e-05
x=-0.00346071   y=0.00297558   z=2.85526e-05
x=-0.00992673   y=0.00215215   z=-0.000101446
x=-0.00373439   y=-0.00247219   z=-3.17476e-05
x=-0.000299543   y=-0.000233566   z=2.08519e-05
x=-0.00483339   y=-0.000176124   z=-5.88246e-05
x=-0.00767798   y=0.0043112   z=2.55845e-05
x=-0.0084515   y=-0.000968712   z=-8.5748e-05
x=-0.00748349   y=0.00280409   z=-5.74555e-05
x=-0.00615412   y=0.00333582   z=-1.92069e-05
x=-0.00759175   y=-0.00291246   z=-7.01128e-05
x=-0.0132244   y=-0.000902918   z=-0.000148682
x=-0.00441693   y=0.00518225   z=-2.83195e-06
x=-0.0116783   y=0.00116254   z=-7.27482e-05
x=-0.00606749   y=0.00554667   z=6.84245e-06
x=-0.00944205   y=-0.00825411   z=-0.000103398
x=-0.0022104   y=0.00295545   z=1.03046e-05
x=-0.00159779   y=-0.00407662   z=-1.02138e-05
x=-0.0101459   y=-0.00395486   z=-5.60495e-05
x=-0.00111955   y=0.00586983   z=9.74073e-06
x=-0.0106901   y=0.00109914   z=-8.95136e-05
x=-0.00558524   y=-0.00354853   z=-4.58652e-05
x=-0.0125487   y=-0.00325446   z=-0.000196806
x=-0.0161843   y=0.000794158   z=-0.000150968
x=-0.00831336   y=0.00359916   z=-8.69238e-05
x=-0.0049813   y=0.00171555   z=-3.3302e-05
x=-0.0108375   y=0.00698233   z=-5.51076e-05
x=-0.00998378   y=0.00246434   z=-7.45577e-05
x=-0.0061856   y=-0.00123995   z=2.49724e-05
x=-0.00887542   y=0.00201913   z=-6.97124e-05
x=-0.00871554   y=0.0110743   z=-4.36e-05
x=0.00168933   y=-0.000578394   z=6.07261e-05
x=-0.00438978   y=-0.00058365   z=-6.97187e-05
x=-0.00776625   y=-0.0035594   z=-8.10384e-05
x=-0.00881735   y=0.000646819   z=-4.30518e-05
x=-0.00561953   y=-0.00558875   z=-9.94561e-05
x=0.00138498   y=0.00195898   z=6.97702e-05
x=-0.00383622   y=-0.00537119   z=-0.000108373
x=-0.0103238   y=-0.00213172   z=-7.11588e-05
x=-0.00400475   y=-0.0046356   z=-3.41778e-05
x=-0.00705665   y=-0.00176167   z=-5.43986e-05
x=-0.00584121   y=0.00211794   z=-6.41178e-05
x=-0.0100555   y=-0.0014294   z=-8.14344e-05
x=-0.0112724   y=0.00337948   z=-0.000107424
x=-0.00557078   y=-0.000936149   z=5.90269e-07
x=-0.00813122   y=0.000684309   z=-9.97501e-05
x=-0.00552944   y=0.000487598   z=-5.38693e-05
x=-0.0102295   y=0.000476868   z=-7.08465e-05
x=-0.0109123   y=-0.00101535   z=-8.87307e-05
x=-0.0080368   y=0.0018993   z=-6.5962e-05
x=-0.00952271   y=-0.000461657   z=-4.29469e-05
x=-0.0117988   y=-0.0066753   z=-0.000135427
x=-0.00776406   y=0.00468154   z=-5.02065e-05
x=-0.00398732   y=-0.00385981   z=-8.08026e-05
x=0.00124641   y=-0.0031851   z=3.2696e-05
x=-0.011022   y=-0.00138978   z=-9.79794e-05
x=-0.00767096   y=-0.00278077   z=-0.000133612
x=-0.00728093   y=0.00517004   z=-3.6969e-05
x=-0.00742445   y=-0.000857941   z=-0.000100543
x=-0.00502892   y=-0.00250419   z=-5.3479e-05
x=-0.000869765   y=0.00159509   z=3.21478e-06
x=-0.00830309   y=0.000293331   z=-9.25976e-05
x=-0.00572311   y=-0.000298629   z=-8.32376e-05
x=-0.0111453   y=0.000839802   z=-8.95989e-05
x=0.00102615   y=0.00433158   z=4.41551e-05
x=-0.00234083   y=0.00149583   z=-3.43904e-06
x=-0.00453771   y=0.00269251   z=-4.89919e-05
x=-0.00265507   y=0.00277364   z=4.54291e-06
x=-0.005224   y=-0.00104148   z=-3.61014e-05
x=-0.0102065   y=-0.0016933   z=-8.61847e-05
x=-0.00372154   y=0.00323506   z=6.94206e-06
x=0.000357433   y=-0.00424381   z=2.18771e-05
x=-0.00882104   y=0.00273271   z=-3.0861e-05
x=0.000509543   y=0.00318051   z=5.60917e-05
x=-0.00179283   y=0.0010425   z=9.62102e-06
x=-0.0143246   y=0.00231517   z=-5.32473e-05
x=-0.00862642   y=-0.00185425   z=-7.54786e-05
x=-0.0144687   y=-0.00161506   z=-4.35627e-05
x=-0.00493039   y=0.00269013   z=1.94881e-05
x=0.000253792   y=5.51385e-05   z=2.30048e-05
x=-0.00942318   y=0.00127369   z=-4.69066e-05
x=-0.000481999   y=-0.00522291   z=1.83379e-05
x=-0.00483536   y=-0.00353622   z=-5.88322e-05
x=-0.00299912   y=-0.00223629   z=-5.92383e-06
x=-0.00527007   y=-0.000116689   z=-6.13718e-06
x=-0.00894933   y=0.00285647   z=-4.63526e-05
x=-0.00595105   y=-0.000109999   z=-1.76892e-06
x=-0.00522808   y=0.00792309   z=3.14025e-05
x=-0.00522051   y=-0.00614994   z=-7.64847e-05
x=0.00339707   y=-0.00279622   z=-2.01338e-06
x=-0.00132294   y=-0.00745302   z=-1.81419e-05
x=-0.00712466   y=-0.0105621   z=-0.000141625
x=0.000191878   y=-0.00977877   z=-4.28328e-05
x=-0.00180869   y=0.000490385   z=-4.59097e-06
x=-0.00668226   y=0.00414859   z=-4.49612e-05
x=-0.008125   y=0.00137068   z=-7.28619e-05
x=-0.00513857   y=-0.00592576   z=-0.00010723
x=-0.00675589   y=0.00246122   z=-2.24969e-05
x=4.67967e-05   y=-0.000201919   z=-1.72074e-05
x=0.00197851   y=-0.00413996   z=7.41265e-06
x=-0.00698815   y=0.00165141   z=-6.96475e-05
x=0.00450258   y=-0.00225531   z=6.60326e-06
x=-0.0103078   y=-0.00391104   z=-0.000116523
x=0.00265701   y=-0.000328423   z=3.3986e-05
x=-0.000153977   y=-0.00350939   z=5.50334e-05
x=-0.00225713   y=-0.0112335   z=-3.95273e-05
x=0.00120575   y=-0.00240824   z=3.32824e-05
x=0.000771906   y=-0.00457219   z=5.60592e-06
x=-0.00189755   y=-0.000902239   z=5.19249e-05
x=0.00237821   y=0.000690647   z=2.42409e-05
x=-0.00423625   y=0.00125836   z=-1.97697e-05
x=-0.0061189   y=0.00280859   z=-4.35825e-05
x=-0.00985146   y=0.00257682   z=-5.89397e-05
x=0.00225602   y=-0.00521313   z=3.32352e-05
x=-0.00642294   y=0.00467967   z=-2.7974e-05
x=-0.00561821   y=-0.00531419   z=-4.78361e-05
x=-0.00918427   y=-0.0111924   z=-0.000108787
x=-0.00401407   y=-0.00508388   z=-5.7834e-05
x=-0.00413326   y=-0.00490448   z=-8.49375e-05
x=-0.0068307   y=-0.00274584   z=-7.02681e-05
x=-0.00447216   y=0.00148041   z=-5.34709e-06
x=-0.000172919   y=0.00183359   z=3.31221e-05
x=-0.00744298   y=-0.000345561   z=-3.32984e-05
x=-0.00879331   y=-0.00220868   z=-8.3148e-05
x=-0.00532474   y=-0.00458134   z=-4.52431e-05
x=-0.00444755   y=-0.00387502   z=-4.42099e-05
x=-0.00181414   y=-0.00209555   z=-2.36747e-05
x=-0.00912099   y=0.00258273   z=-4.72463e-05
x=-0.00194442   y=-0.00459767   z=-4.17935e-05
x=-0.0068117   y=-0.00764763   z=-6.74527e-05
x=-0.00319889   y=0.000788976   z=-8.45899e-06
x=-0.0039063   y=-0.00376423   z=-3.91668e-05
x=-0.00414107   y=0.00100594   z=1.10999e-05
x=0.00083907   y=0.0019013   z=3.33344e-05
x=-0.00187073   y=-0.00218477   z=1.4394e-06
x=-0.0050762   y=-0.0053882   z=-6.4316e-05
x=0.00195892   y=0.00378949   z=5.43486e-05
x=0.000352148   y=0.000199611   z=-1.77696e-05
x=0.00134651   y=-0.00136574   z=3.09439e-06
x=-0.00350412   y=0.000329091   z=-1.63398e-05
x=-0.00970472   y=-0.00105499   z=-6.5629e-05
x=-0.00492017   y=0.00226483   z=-2.42434e-05
x=-0.00603918   y=-0.000828891   z=1.21615e-05
x=-0.00802137   y=-0.000282361   z=-2.4547e-05
x=0.00702919   y=-0.00427624   z=5.48517e-05
x=-0.00985957   y=0.00151332   z=-4.40657e-05
x=-0.00666868   y=0.000820716   z=-1.96295e-05
